iter	Passed	Remaining
0	134	133945
1	136	68212
2	139	46319
3	142	35526
4	146	29225
5	150	24929
6	153	21794
7	156	19448
8	159	17528
9	162	16073
10	165	14895
11	169	13965
12	172	13081
13	175	12325
14	177	11685
15	180	11113
16	184	10660
17	187	10214
18	189	9802
19	194	9509
20	196	9161
21	199	8852
22	201	8561
23	205	8363
24	209	8154
25	212	7943
26	214	7730
27	217	7564
28	222	7434
29	224	7273
30	227	7123
31	230	6978
32	233	6838
33	236	6705
34	238	6587
35	242	6487
36	245	6389
37	247	6276
38	250	6174
39	253	6073
40	256	5996
41	258	5907
42	261	5822
43	263	5728
44	265	5634
45	268	5559
46	269	5466
47	271	5382
48	273	5304
49	275	5226
50	276	5148
51	279	5091
52	282	5041
53	284	4985
54	287	4939
55	289	4877
56	291	4820
57	295	4795
58	333	5320
59	338	5310
60	341	5263
61	344	5205
62	345	5141
63	347	5086
64	350	5041
65	353	4999
66	357	4977
67	360	4944
68	362	4890
69	364	4840
70	366	4791
71	367	4740
72	369	4695
73	371	4649
74	374	4613
75	375	4568
76	377	4526
77	379	4481
78	380	4439
79	384	4424
80	386	4384
81	388	4346
82	389	4304
83	391	4265
84	392	4222
85	394	4195
86	396	4164
87	398	4131
88	400	4097
89	401	4064
90	403	4028
91	404	3995
92	408	3979
93	409	3951
94	411	3918
95	412	3887
96	414	3856
97	415	3826
98	417	3802
99	420	3782
100	422	3760
101	423	3726
102	425	3701
103	426	3673
104	427	3647
105	430	3631
106	434	3625
107	436	3602
108	437	3578
109	439	3555
110	441	3535
111	443	3513
112	445	3498
113	448	3488
114	450	3467
115	451	3442
116	453	3422
117	455	3402
118	456	3381
119	459	3368
120	461	3353
121	463	3334
122	464	3309
123	466	3292
124	467	3273
125	469	3255
126	471	3243
127	473	3224
128	474	3206
129	476	3190
130	479	3180
131	481	3165
132	484	3157
133	485	3140
134	487	3123
135	489	3109
136	491	3096
137	492	3077
138	494	3061
139	496	3051
140	499	3040
141	500	3026
142	502	3010
143	503	2995
144	505	2980
145	507	2966
146	509	2958
147	511	2945
148	513	2931
149	514	2917
150	516	2903
151	518	2891
152	520	2881
153	523	2875
154	525	2863
155	527	2851
156	528	2840
157	530	2828
158	532	2818
159	535	2811
160	537	2799
161	538	2787
162	540	2774
163	542	2763
164	543	2751
165	545	2742
166	548	2736
167	550	2725
168	551	2714
169	553	2703
170	555	2691
171	556	2681
172	560	2680
173	563	2674
